"sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"calpal","Asikli Höyük","AA-87955",8770,40,"Neolithic",NA,"UN",34.2295,38.3497,NA,-7997.05,-7594,-8215
"calpal","Dakhla, site 166 (33/435-C7-2)","Beta-17022",8620,160,"Neolithic",NA,"UN",28.9908,25.4993,NA,-8149,-7056,-8304
"calpal","Asikli Höyük","AA-87985",8690,20,"Neolithic",NA,"UN",34.2295,38.3497,NA,-7736,-7590,-7937
"calpal","Asikli Höyük","AA-93581",8870,40,"Neolithic",NA,"UN",34.2295,38.3497,NA,-8199,-7685,-8265
"calpal","Asikli Höyük","AA-93582",8700,40,"Neolithic",NA,"UN",34.2295,38.3497,NA,-7857.05,-7584,-8162
"calpal","Sabi Abyad","GrA-42868",7320,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6247,-6012,-6394
"calpal","Sabi Abyad","GrA-42866",7450,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6401,-6078,-6461
"calpal","Çatalhöyük East","OxA-X-104513",7850,110,"Neolithic",NA,"UN",32.81,37.65,NA,-7018,-6278,-7314
"calpal","Sabi Abyad","GrA-32048",7705,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6624,-6415,-6691
"calpal","Asikli Höyük","AA-96566",9020,50,"Neolithic",NA,"UN",34.2295,38.3497,NA,-8288,-7852,-8531
"calpal","Sabi Abyad","GrA-32051",7625,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6566,-6252,-6644
"calpal","Cavdar","Bln-1030",6760,100,"Neolithic",NA,"UN",24.083,42.63,NA,-5828,-5366,-6011
"calpal","Sabi Abyad","GrA-43402",6880,35,"Neolithic",NA,"UN",39.1,36.53,NA,-5833,-5629,-5974
"calpal","Sabi Abyad","GrA-43423",7255,35,"Neolithic",NA,"UN",39.1,36.53,NA,-6212,-5987,-6242
"calpal","Sabi Abyad","GrA-46240",7305,40,"Neolithic",NA,"UN",39.1,36.53,NA,-6224,-6012,-6377
"calpal","Sabi Abyad","GrA-32996",7460,80,"Neolithic",NA,"UN",39.1,36.53,NA,-6427,-6022,-6593
"calpal","Sabi Abyad","GrA-32997",7440,35,"Neolithic",NA,"UN",39.1,36.53,NA,-6388,-6083,-6437
"calpal","Cavdar","Bln-1580",7202,55,"Neolithic",NA,"UN",24.083,42.63,NA,-6203,-5845,-6332
"calpal","Argissa Magula","UCLA-1657 D",7990,95,"Neolithic",NA,"UN",22.4667,39.6333,NA,-7122,-6470,-7453
"calpal","Mushash 163","Poz-73573",9450,50,"Neolithic",NA,"UN",36.3183,31.8136,NA,-9052,-8476,-9180
"calpal","Sabi Abyad","GrA-54882",7270,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6218,-5930,-6369
"calpal","Asikli Höyük","GrN-19120",8815,70,"Neolithic",NA,"UN",34.226,38.3475,NA,-8179,-7588,-8281
"calpal","Yumuktepe","LTL-4634A",7453,55,"Neolithic",NA,"UN",34.6,36.79,NA,-6411,-6072,-6471
"calpal","Miechowice 4","Lod-1007",5990,60,"Neolithic",NA,"UN",18.82,52.62,NA,-5005,-4607,-5210
"calpal","Mushash 163","Poz-86081",9490,60,"Neolithic",NA,"UN",36.3183,31.8136,NA,-9108,-8484,-9233
"calpal","Abu Hureyra","OxA-2167",8270,100,"Neolithic",NA,"UN",38.4,35.86,NA,-7496,-6702,-7594
"calpal","Sabi Abyad","GrA-54890",7075,35,"Neolithic",NA,"UN",39.1,36.53,NA,-6011,-5781,-6072
"calpal","Yumuktepe","R-808",7380,80,"Neolithic",NA,"UN",34.59,36.78,NA,-6387,-5984,-6473
"calpal","Hoca Cesme","Bln-4609",7637,43,"Neolithic",NA,"UN",26.09,40.7,NA,-6572,-6267,-6645
"calpal","Hoca Cesme","Hd-16726/17084",7005,33,"Neolithic",NA,"UN",26.08,40.7,NA,-5972,-5726,-6018
"calpal","Eaton Heath","BM-771",6256,59,"Neolithic",NA,"UN",1.2672,52.6063,NA,-5319,-4937,-5472
"calpal","Kouphovouno","OxA-20955",6276,32,"Neolithic",NA,"UN",22.4239,37.0552,NA,-5306,-5045,-5374
"calpal","Kouphovouno","OxA-20951",6251,34,"Neolithic",NA,"UN",22.4239,37.0552,NA,-5299,-5002,-5368
"calpal","Wadi Abu Tulayha","NITA2-11406",8409,41,"Neolithic",NA,"UN",35.9828,30.5082,NA,-7562,-7192,-7590
"calpal","Dikili Tash","Lyon-6007",6190,40,"Neolithic",NA,"UN",24.3087,41.0103,NA,-5267,-4936,-5316
"calpal","Wadi Abu Tulayha","NITA2-11408",8464,51,"Neolithic",NA,"UN",35.9828,30.5082,NA,-7579,-7199,-7640
"calpal","Issaron","RT-1514",8200,90,"Neolithic",NA,"UN",35.03,29.9,NA,-7444,-6689,-7580
"calpal","Sabi Abyad","GrA-42495",7465,45,"Neolithic",NA,"UN",39.1,36.53,NA,-6410,-6081,-6465
"calpal","Sabi Abyad","GrA-42722",7605,40,"Neolithic",NA,"UN",39.1,36.53,NA,-6529,-6248,-6637
"calpal","Dikili Tash","Lyon-7625",7115,35,"Neolithic",NA,"UN",24.3097,41.0103,NA,-6051,-5837,-6085
"calpal","Dikili Tash","Lyon-7622",6940,35,"Neolithic",NA,"UN",24.3086,41.0097,NA,-5897,-5669,-5985
"calpal","Barbey","Ly-5881",6410,120,"Neolithic",NA,"UN",3.05,48.3667,NA,-5550,-4846,-5723
"calpal","Mezraa Teleilat","AA-49102",9324,59,"Neolithic",NA,"UN",38,36.98,NA,-8715,-8290,-9110
"calpal","Mezraa Teleilat","AA-49107",8001,55,"Neolithic",NA,"UN",38,36.98,NA,-7045,-6641,-7243
"calpal","Çatalhöyük East","Poz-13571",7390,40,"Neolithic",NA,"UN",32.82,37.65,NA,-6368,-6067,-6427
"calpal","Gadachrili Gora","LTL-13223A",6860,45,"Neolithic",NA,"UN",44.8211,41.3905,NA,-5832,-5569,-5977
"calpal","Mezraa Teleilat","LTL-2649A",7817,50,"Neolithic",NA,"UN",38,36.98,NA,-6807,-6456,-7041
"calpal","Rudna Glava","OxA-14622",6188,35,"Neolithic",NA,"UN",21.95,44.42,NA,-5218.05,-4942,-5310
"calpal","Achilleion","GrN-7433",7025,50,"Neolithic",NA,"UN",22.42,39.25,NA,-5987,-5719,-6069
"calpal","Samir","Pta-3820",6830,80,"Neolithic",NA,"UN",34.95,32.81,NA,-5873,-5478,-6012
"calpal","Çatalhöyük East","Poz-24009",7700,50,"Neolithic",NA,"UN",32.82,37.65,NA,-6626,-6396,-6731
