"","sourcedb","SiteName","LabCode","C14Age","C14SD","db_period","db_culture","Period","lon","lat","colors","median","tpq","taq"
"3302","radon","Vrsnik-Tarinci","Bln-339",6950,100,"IIb/III","Starcevo-Körös-Criș culture","EN",22.15,41.75,NA,-5833.98801595676,-5526,-6218
"3303","radon","Vrsnik-Tarinci","Bln-339A",6855,80,"IIb/III","Starcevo-Körös-Criș culture","EN",22.15,41.75,NA,-5745.46919767017,-5480,-6019
"3304","calpal","Vršnik-Tarinci","Bln-339a",6855,80,"Neolithic",NA,"UN",22.15,41.75,NA,-5745.46919767017,-5480,-6019
"3305","calpal","Slatina","Bln-3434",6890,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5775.70773440059,-5566,-6010
"3306","calpal","Slatina","Bln-3435",6860,50,"Neolithic",NA,"UN",23.36,42.7,NA,-5741.34405267312,-5566,-5980
"3307","calpal","Slatina","Bln-3436",6840,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5723.21756035157,-5535,-5982
"3308","calpal","Slatina","Bln-3437",6810,50,"Neolithic",NA,"UN",23.36,42.7,NA,-5693.70757673924,-5537,-5962
"3309","calpal","Slatina","Bln-3438",6960,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5838.84483997702,-5630,-6061
"3310","calpal","Slatina","Bln-3439",6940,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5819.81933659584,-5626,-6024
"3311","calpal","Slatina","Bln-3440",6840,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5723.21756035157,-5535,-5982
"3312","calpal","Slatina","Bln-3441",6960,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5838.84483997702,-5630,-6061
"3313","calpal","Slatina","Bln-3442",6780,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5678.27472228525,-5479,-5965
"3314","calpal","Slatina","Bln-3443",6840,60,"Neolithic",NA,"UN",23.36,42.7,NA,-5723.21756035157,-5535,-5982
