Code_Region;Region / Country;Department / District;Municipality;Site;Cultural_complex;Cultural_aspect;Event_id.;Method_1;Lab_count_id.;14C_age_BP;STD;Curve;Method_2;Material;Generic_Specific_id.;Anatomical_id.;Identified_by;Reference(s);Comment_1;STD_accuracy;Accuracy_score;Material_reliability;Reliability_score;Quality_score;Comment_2;HPD_IntCal20;ChronoModel_id.;BMAP_EMAP;MACT-1;MACT-2;MACT-3
CWM_B016;Puglia (IT);Foggia;Manfredonia;Scaloria (grotta);NA;na;B016_SCL#_soil;14C;R-349;5480;70;intcal20.14c;GPC;Organic matter;na;na;na;Alessio et al. 1969, Robb 2016;_;GOOD;3;BULK;1;3;_;"[ -4486 ; -4063 ]";na;na;;;
CWM_B016;Puglia (IT);Foggia;San Marco In Lamis;Scaramella  San Vito;IMP_QRC;Quercia;B016_SSV#A#Outer-Ditch;14C;R-350;7000;100;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOWEST;1;na;1;1;_;"[ -6059 ; -5715 ]";na;na;;;
CWM_B016;Puglia (IT);Foggia;San Marco In Lamis;Scaramella  San Vito;IMP_QRC;Quercia;B016_SSV#A#Inner-Dich (bottom) Spit-7;14C;R-351;6540;65;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;GOOD;3;OWE;2;6;_;"[ -5619 ; -5372 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-4/8_spit-2;14C;R-3557;6627;34;intcal20.14c;LSC;Waterlogged wood;na;na;na;Delpino 2020;_;HIGH;4;OWE;2;8;_;"[ -5622 ; -5482 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-11#B;14C;R-3558;6852;38;intcal20.14c;LSC;Charcoal;Quercus sp.;47 rings;na;Fugazzola Delpino 2020, Delpino 2020;_;HIGH;4;OWE;2;8;_;"[ -5829 ; -5659 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;CRD / LIN_SSV;C032_MRM#na#D;14C;R-3560;6717;44;intcal20.14c;LSC;Waterlogged wood;na;na;na;Fugazzola Delpino 2020;_;HIGH;4;OWE;2;8;_;"[ -5719 ; -5556 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-11#C;14C;R-3563;6414;40;intcal20.14c;LSC;Waterlogged wood;na;na;na;Delpino 2020;_;HIGH;4;OWE;2;8;_;"[ -5472 ; -5316 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);ICC;na;C032_MRM#STR-11#A;14C;R-3572;6874;37;intcal20.14c;LSC;Charcoal;na;na;na;Fugazzola Delpino 2020, Delpino 2020;_;HIGH;4;OWE;2;8;_;"[ -5839 ; -5668 ]";na;na;;;
CWM_C032;Lazio (IT);Roma;Anguillara Sabazia;Marmotta (La);NEO;CRD / LIN_SSV;C032_MRM#STR-3_spit-2;14C;R-3573;6594;61;intcal20.14c;LSC;Waterlogged wood;na;na;na;Delpino 2020;_;GOOD;3;OWE;2;6;_;"[ -5631 ; -5411 ]";na;na;;;
CWM_B093;Emilia (IT);Reggio Nell'Emilia;Scandiano;Chiozza;NEO;Fiorano;B093_CHZ#Pit-E;14C;R-458;6000;200;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1970;_;LOWEST;1;OWE;2;2;_;"[ -5330 ; -4451 ]";na;na;;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;CST;Castelnovian;A091_VDZ#Spit-2/3;14C;R-487a;7250;110;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOWEST;1;OWE;2;2;_;"[ -6379 ; -5911 ]";na;na;;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;CST;Castelnovian;A091_VDZ#Spit-5_Hearth-1#A;14C;R-488;7540;75;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOW;2;OWE;2;4;_;"[ -6563 ; -6231 ]";A091_VDZ;"[-6444 ; -6335]";6420;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;CST;Castelnovian;A091_VDZ#Spit-5_Hearth-1#B;14C;R-488A;7585;75;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOW;2;OWE;2;4;_;"[ -6591 ; -6251 ]";A091_VDZ;"[-6444 ; -6335]";6420;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;EME;Sauveterrian;A091_VDZ#Spit-7_Hearth-2#A;14C;R-489;7860;75;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOW;2;OWE;2;4;_;"[ -7035 ; -6528 ]";A091_VDZ;"[-6907 ; -6640]";6720;;
CWM_A091;Trentino-Alto Adige (IT);Trento;Fai Della Paganella;Vatte di Zambana;EME;Sauveterrian;A091_VDZ#Spit-7_Hearth-2#B;14C;R-489A;7810;95;intcal20.14c;GPC;Charcoal;na;na;na;Alessio et al. 1969;_;LOW;2;OWE;2;4;_;"[ -7031 ; -6462 ]";A091_VDZ;"[-6907 ; -6640]";6720;;
