ID;SiteName;LFSite;SiteType;Country;Period;PhaseCode;LabCode;C14Age;C14SD;Material;MaterialSpecies;AnatomicalParts;Reliability;tpq;taq;Longitude;Latitude;bib;bib_url;;
3272;Chemin des Collines;;BU;Swiss;MN;z.W Layer 8-6;ARC-404;5100;120;human bone;Homo sapiens;n/a;;-4230;-3646;7,353822;46,232509;Hafner 2012;Hafner12;;
3288;Sion - Avenue Ritz;;BU;Swiss;MN;n/a;ARC-405;5870;130;human bone;Homo sapiens;n/a;;-5202;-4446;7,359572;46,235841;Piguet 2011;Piguet11;;
3291;Sion - Avenue Ritz;;BU;Swiss;MN;n/a;ARC-406;5500;140;human bone;Homo sapiens;n/a;;-4673;-3995;7,359572;46,235841;Piguet 2011;Piguet11;;
3289;Sion - Avenue Ritz;;BU;Swiss;MN;Burial 6;ARC-407;5680;160;human bone;Homo sapiens;n/a;;-4940;-4172;7,359572;46,235841;Piguet 2011;Piguet11;;
3251;Barmaz;;BU;Swiss;MN;Layer 6, Burial 3;ARC-411;5595;60;human bone;Homo sapiens;n/a;;-4547;-4337;6,939533;46,273214;Piguet 2011;Piguet11;;
613;Clapier;;OP;France;MN;Secteur 4;ARC-630;5460;60;n/a;n/a;n/a;;-4448;-4067;5,0834;45,5169;Beeching et al. 1997;Beeching97;;
614;Clapier;;OP;France;MN;Secteur 4;ARC-631;5150;130;n/a;n/a;n/a;;-4313;-3654;5,0834;45,5169;Beeching et al. 1997;Beeching97;;
612;Clapier;;OP;France;MN;n/a;ARC-786;5555;280;n/a;n/a;n/a;;-5203;-3776;5,0834;45,5169;Beeching et al. 1997;Beeching97;;
3283;Petit-Chasseur;;MG-BU;Swiss;MN;Layer 8-12;B-2110;5130;100;wood charcoal;n/d;n/a;;-4231;-3657;7,359579;46,231164;Piguet 2011;Piguet11;;
3285;Petit-Chasseur;;MG-BU;Swiss;MN;Layer 8-12;B-2111;5100;70;wood charcoal;n/d;n/a;;-4045;-3709;7,359579;46,231164;Piguet 2011;Piguet11;;
3324;Tec Nev;;OP;Swiss;LM;Survey TN 1-3;B-2382;5950;110;wood charcoal;n/d;n/a;;-5207;-4546;9,232014;46,382515;Della Casa 1995;DellaCasa95;;
3281;Petit-Chasseur;;MG-BU;Swiss;EN;Layer 13;B-2468;5630;110;wood charcoal;n/d;n/a;;-4723;-4255;7,359579;46,231164;Piguet 2011;Piguet11;;
