"sourcedb"	"site"	"idf"	"labcode"	"lon"	"lat"	"period"	"median"	"ID"	"code"
"neonet"	"Peiro Signado"	185	"Ly-5689(SacA-13451)"	3.32891	43.3083	"EN"	-5801	185	"Csa"
"neonet"	"Pendimoun"	186	"Gif-A101334"	7.505944	43.812212	"EN"	-5689	186	NA
"neonet"	"Pendimoun"	187	"LTL-15941A"	7.505944	43.812212	"EN"	-5689	187	NA
"neonet"	"Piano di Cerreto"	190	"R-548"	10.417	44.133	"EN"	-5595	190	"Cfb"
"neonet"	"Pollera"	192	"MC-756"	8.314602	44.200546	"EN"	-5834	192	"Cfa"
"neonet"	"Pont de Roque-Haute"	193	"Ly-7625"	3.36003	43.2927	"EN"	-5970	193	"Csa"
"neonet"	"Portonovo Fosso Fontanaccia"	194	"LTL-12777A"	13.573426	43.563733	"EN"	-5515	194	NA
"neonet"	"Pza. Vila Madrid"	198	"Beta-18271"	2.172524	41.384281	"EN"	-5410	198	NA
"neonet"	"Renaghju"	199	"Ly-8327"	8.92148	41.52652	"EN"	-5485	199	NA
"neonet"	"Revilla del Campo"	200	"KIA-13940"	-2.549566	41.17593	"EN"	-5521	200	"Csa"
"neonetatl"	"Ribeira de Alcantarilha"	201	"Wk-6851"	-8.3447	37.1271	"EN"	-5503	201	"Csa"
"neonet"	"Rio Tana"	202	"AECV-2012C"	13.673419	41.940862	"EN"	-5744	202	"Csa"
"neonet"	"Roc du Dourgne"	206	"MC-1104"	2.0879	42.7607	"EN"	-5422	206	"Cfb"
"neonet"	"Ronze"	208	"Ly-6083"	4.404267	44.318435	"EN"	-5555	208	"Cfa"
"neonetatl"	"Rouffignac"	209	"GrN-5512"	0.985638	45.01062	"EN"	-5373	209	"Csa"
"bda"	"SHM-1"	210	"SacA-23651 (P-1068)"	10.496	36.019	"EN"	-5713	210	"BSk"
"neonet"	"San Marco di Gubbio"	212	"OxA-1853"	12.598891	43.329629	"EN"	-5395	212	"Cfa"
"neonet"	"San Sebastiano di Perti"	214	"OxA-21359"	8.309641	44.184808	"EN"	-5670	214	"Cfa"
"agrichange"	"Sant Llorenc"	216	"Beta-311606"	1.831924	41.252455	"EN"	-5659	216	"Csa"
"neonet"	"Sant Pau del Camp"	217	"Beta-407495"	2.169751	41.375989	"EN"	-5533	217	NA
"neonet"	"Santo Stefano di Ortucchio"	218	"LTL-60A"	13.666385	41.953894	"EN"	-5721	218	"Csa"
"neonet"	"Savignano sul Panaro"	219	"Lj-4649"	11.04242	44.476479	"EN"	-5633	219	"Cfb"
"brami15"	"Senhora da Alegria"	220	"BM-1157"	-8.2346	40.0751	"EN"	-5795	220	"Csa"
"neonet"	"Settecannelle"	221	"GrA-15587"	11.755982	42.544185	"EN"	-5531	221	"Csa"
"neonet"	"Su Carroppu"	223	"Ly-3012"	8.549996	39.196373	"EN"	-5405	223	"Csa"
"neonet"	"Su Coloru"	224	"Beta-167931"	8.712183	40.661832	"EN"	-5720	224	"Csa"
"neonet"	"Tumul del Padro"	227	"ICEN-873"	-3.11	42.63	"EN"	-5502	227	"Csb"
"bda"	"Uzzo"	229	"OxA-13661"	12.786694	38.109951	"EN"	-6307	229	NA
"neonetatl"	"Valada do Mato"	230	"GrA-18298"	-7.9902777	38.60806	"EN"	-5485	230	"Csa"
"neonetatl"	"Vale Marim I"	233	"Beta-417015"	-8.806815	37.9302	"EN"	-5908	233	"Csa"
"neonetatl"	"Vale Pincel I"	234	"Beta-164664"	-8.844087	37.94075	"EN"	-5652	234	"Csa"
"neonetatl"	"Vidigal"	237	"Ly-4695"	-8.7799	37.8263	"EN"	-5568	237	"Csa"
"neonet"	"Vinya en Pau"	239	"CNA-2488.1.1"	1.699466	41.344905	"EN"	-5386	239	"Csa"
