"Country"	"SiteName"	"Period"	"PhaseCode"	"Longitude"	"Latitude"	"tpq"	"taq"	"LabCode"	"C14Age"	"C14SD"	"Material"	"mat.life"	"bib"	"bib_url"
"Italy"	"Santa Anna d'Oria III"	"EN"	"Layer 3"	17.639	40.499	-5323	-5724	"LTL-1061"	6600	60	"n/a"	"others"	"Fiorentino et al. 2013"	"https://doi.org/10.1177/0959683613486942"
"France"	"Grotte du Gardon"	"MN"	"Layer 52-48"	5.38741547	45.95750431	-4050	-4994	"Ly-4837"	5675	115	"n/a"	"others"	"Banadora BD"	"Banadora21"
"Croatia"	"Konjevrate"	"EN"	"n/a"	16.011773	43.784563	-4944	-5302	"PSU-5557/ UCIAMS-119838"	6175	30	"fauna"	"short life"	"McClure et al. 2016 "	"https://doi.org/10.2458/56.17918"
"France"	"Abri Pendimoun"	"EN"	"US 18364"	7.505944	43.812212	-5226	-5622	"LTL-8012A"	6499	45	"plant seed"	"short life"	"Binder et al. 2018"	"https://doi.org/10.4312/dp.44.4"
"Italy"	"Lagnano da Piede"	"EN"	"Ditch F1, Layers 3-4"	15.68544	41.238856	-5311	-5981	"UCLA-2148"	6700	100	"fauna"	"short life"	"Forenbaher & Miracle 2006"	"https://doi.org/10.4312/dp.33.10"
"France"	"Abri du Pas de l'Echelle"	"LM"	"Layer E1-E2"	5.486	45.1733	-6245	-6648	"Ly-4686 (Sac-A 9838)"	7630	50	"fauna"	"short life"	"Perrin & Manen 2021"	"https://doi.org/10.1371/journal.pone.0246964"
"Spain"	"La Draga"	"EN"	"E-5 Hearth sector A, Phase II"	2.758536	42.126877	-4846	-5291	"OxA-20234"	6127	33	"cereal"	"short life"	"Bosch et al. 2011"	"Bosch11"
"Italy"	"Piancada"	"EN"	"Q: E3"	13.096376	45.805789	-4800	-5477	"OZB-950"	6240	80	"wood charcoal"	"long life"	"Mazzucco et al. 2020"	"https://doi.org/10.1371/journal.pone.0232455.s002"
"Italy"	"Staller Sattel"	"EM"	"STS 4A"	12.198981	46.887282	-6461	-7058	"LTL-14026A"	7861	60	"wood charcoal"	"long life"	"Kompatscher et al. 2016"	"https://doi.org/10.1016/j.quaint.2015.12.090"
"Italy"	"S.Andrea di Travo"	"MN"	"US 373"	9.548299	44.863461	-3998	-4337	"Hd-23017"	5355	26	"wood charcoal"	"long life"	"Visentini et al. 2004"	"Visentini04"
"Italy"	"Catignano"	"EN"	"Structure 1, cut 5"	13.943843	42.34267	-4719	-5329	"R-997"	6120	70	"wood charcoal"	"long life"	"Mazzucco et al. 2020"	"https://doi.org/10.1371/journal.pone.0232455.s002"
"Spain"	"Abrigo de Los Husos I"	"EN"	"XV"	-2.503877	42.613569	-4256	-4719	"Beta-161179"	5630	60	"wood charcoal"	"long life"	"Polo & FernÃ¡ndez 2010"	"https://doi.org/10.1016/j.quaint.2009.10.022"
