period	culture	class
Neolithic	Samarra	
Neolithic	Hassuna/Samarra	
Neolithic	Ubaid	
Chalcolithic	niv. VIII, -5,30 à 5,50 m	
Epipalaeolithic	Zarzian	
Epipalaeolithic	Harifian	
Neolithic	LPPNB/PPNC	en
Neolithic	MPPNB	en
Epipalaeolithic	Masraqan	
Epipalaeolithic	Natufian	
Neolithic	Jericho IX	
LN / CH	Wadi Rabah	ln
Chalcolithic	CH	
Neolithic	MPPNB?	
Neolithic	PPN	en
Neolithic	Yarmukian	
Epipalaeolithic	Nafufian	
Epipalaeolithic	Mushabian	
Chalcolithic	Shiqmim	
EP	Harifian	
Neolithic	Pendimoun	
Neolithic	ICC	
Neolithic	ICC-SMP	
Neolithic	Scratched Ware	
ICC		
Neolithic	SMP	
Neolithic	Stentinello	
Neolithic	Catignano	
Neolithic	Fiorano	
Neolithic	impresso	en
Neolithic	Vlaška	
Meso/Neo	pottery	
Neolithic	Fagnigola	
Neolithic	Impresse Arcaiche	en
Neolithic	VBQ?	
Neolithic	VBQ	
Neolithic	Danilo/Vlaska	
Neolithic	red-band painted and scarce impressed pottery	
Neolithic	Ceramica lineare	
Epipalaeolithic	Cardial	en
Neolithic	Serra d'Alto	
Neolithic	Guadone-Rendina	
Neolithic	Passo di Corvo	
Epipalaeolithic	Castelnovian/Impressa/Fiorano	
Neolithic	Gaban	
Neolithic	Ripoli	
Neolithic	Lagnano/Graffita	
Neolithic	Passo di Corvo?	
Neolithic	Impressed Pottery	
Neolithic	Impressa/Quercia	
Neolithic	Yarmoukian	
Neolithic	PPNA	en
Epipalaeolithic	PPNA	en
Neolithic	ELN	
Epipalaeolithic	Geom. Kebaran	
Néolithique ancien	PPNA	en
Epipalaeolithic	Nizzanan	
Neolithic	Middle Stage Neolithique Ancien	
	Loschbour_published.DG	
Neolithic	Macedonia_Neolithic	
Epipalaeolithic	Hamburgian ?	
Epipalaeolithic	Ahrensburgian or Early Mesolithic	
Palaeolithic	Late Palaeolithic or Mesolithic	
Epipalaeolithic	Ahrensburgian, Epi-ahrensburgian	
Epipalaeolithic	"Hamburgian"""""""""	
Neolithic	Federmesser	
Neolithic	Trichterbecher-Westgruppe	
Meso/Neo	Hazendonk	
MN		
Neolithic?	LM	
Epipalaeolithic	Janislawice	
Epipalaeolithic	Geometric	
Palaeolithic	Final Magdalenian	
Palaeolithic	Aurignacian 5	
Neolithic	Boian	
Epipalaeolithic	Tardigravettian	
Neolithic	Cris	
Neolithic	Cucuteni	
Meso-Neo		
Neolithic	Dudesti	
Neolithic	Vadastra	
Neolithic	Turdaş	
Epipalaeolithic	Iron_Gates_HG	
Iron_Gates_HG		
Chalcolithic	Cucuteni	
Neolithic	Proto-Starcevo	en
Neolithic	Vinča  C	
Epipalaeolithic	Lepenski Vir	
Id	Lepenski Vir	
Ib-c	Lepenski Vir	
Neolithic	Butmir ?	
Epipalaeolithic	Layer 4.2	
Neolithic	Stroke-Ornamented Ware	
Neolithic	Želiezovce	
Neolithic	LBK or Želiezovce group	en
Epipalaeolithic	Geometric Mesolithic	
Neolithic?	Early Neolithic?	
Neolithic	Interior	
	Iberia_HG	
Palimpsest Meso/Neo		
Neolithic	Andaluz	
	rock art	
	Ancient Cantabiran Azilian	
