"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40"
NA NA -7030.18121964759 -7015.24807758872 -7000.31493552986 -6894.0425745797 -6526.54352508349 -6159.04447558728 -5791.54542609106 -6349.36300299784 -7194.60838513793 -7335.32524405357 -7373.94089880472 -7402.85693886631 -7431.7729789279 -7460.68901898949 -7310.63184493477 -7116.54648274195 -6922.46112054913 -6728.37575835631 -6534.29039616349 -6340.20503397067 -6245.20101452651 -6242.96313611863 -6240.72525771076 -6238.48737930288 -6186.40034029129 -6090.02237765769 -5961.89971453985 -5833.77705142201 -5800.11380034437 -6094.30824557214 -6388.5026907999 NA NA NA NA NA NA NA
NA -7108.118646277 -7093.18550421814 -7078.25236215928 -6839.91709169504 -6472.41804219882 -6104.91899270261 -5737.41994320639 -5769.13423448505 -6614.37961662513 -7454.5486964029 -7492.34651865991 -7521.2625587215 -7550.17859878309 -7579.09463884468 -7608.01067890628 -7587.52227361265 -7393.43691141983 -7199.35154922701 -7005.26618703418 -6845.70241204765 -6843.46453363978 -6841.2266552319 -6723.99390604802 -6578.75161704082 -6543.68889929246 -6415.56623617462 -6287.44357305677 -6224.151931381 -6435.71223730447 -6729.90668253223 -6800.42297146532 NA NA NA NA NA NA NA NA
NA -7171.12293084756 -7153.29065830657 -6785.79160881036 -6418.29255931415 -6050.79350981793 -5683.29446032172 -5315.79541082551 -6026.93454907268 -6862.22442120594 -7589.96719674777 -7701.9246299488 -7668.58421863828 -7697.50025869987 -7726.41629876147 -7755.33233882306 -7784.24837888465 -7670.3273400977 -7476.24197790488 -7443.96593116092 -7261.58747180475 -6977.31974856063 -7008.45569432661 -6997.35542092722 -6869.23275780938 -6776.24540867861 -6716.20621125001 -6733.25145735702 -7071.31067426458 -7365.50511949234 NA NA NA NA NA NA NA NA NA NA
NA -7099.1651754219 -6731.66612592569 -6565.31216872606 -6456.62560249579 -6347.93903626552 -6239.25247003525 -7275.25167716133 -6177.90120674142 -7013.19107887468 -7541.13107015992 -7795.71285596269 -8050.29464176546 -8588.39195986742 -8473.40360920005 -8169.17401342859 -7861.22982923151 -7799.18103756148 -7496.55237467029 -7407.02382584643 -7438.15977161241 -7451.02194256199 -7328.33888597622 -7268.29968854762 -7208.26049111901 -7148.22129369041 -7396.5510058826 -7706.90911122469 -7793.57736422882 NA NA NA NA NA NA NA NA NA NA NA
NA NA -7726.64739451693 -8993.7861229325 -7316.24325526338 -7538.41317570827 -9702.36902878017 -9265.87187472763 -7589.44617666765 -7164.15773654342 -7492.29494357208 -7746.87672937485 -7956.98117608956 -9371.93408674779 -8383.35504764933 -8122.9420077599 -7778.93840696359 -7871.61542487615 -7867.86384889819 -7898.99979466417 -7820.39316584522 -7760.35396841662 -7700.31477098801 -7640.27557355941 -7652.03810266664 -8048.31310295702 -8342.50754818478 -8026.86005293194 NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA -7975.80723045519 -7143.66833066648 -7749.95507148487 -8828.95605952061 -9378.62749272215 -8235.17585136494 -9964.41119784751 -7857.32190505037 -8505.25561840154 -7363.66853262697 -6950.12835720484 -7405.14168424813 -8003.64577448778 -8496.40667102461 -8314.1556853893 -8004.77897707118 -8252.40824828562 -8192.36905085702 -8132.32985342842 -8072.29065599981 -8315.33765119223 -8683.91153991712 -8786.73175699233 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA -8371.42461401082 -7539.28571422211 -6707.14681443342 -7207.42585726888 -8603.20525157543 -8667.9616178691 -8182.11417863183 -8474.68258034687 -8222.88937173621 -7446.79200033812 -8852.3220169691 -9909.4036126111 -8865.46721592004 -8337.87447649489 -8624.38413329742 -8564.34493586882 -8570.82474797628 -8978.6371997178 -9319.50997687723 -9020.01444569544 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA -8767.04199756647 -7934.90309777776 -7102.76419798906 -7306.38792254093 -7636.4369276705 -8185.18686928675 -8012.31976515849 -7406.33241153693 -10386.5311554956 -9095.92510766553 -7890.5881734031 -8670.96997591859 -8996.36001830922 -9234.12429650185 -9641.93674824338 -9779.88614975582 -9253.29713439856 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA -9162.6593811221 -8330.52048133339 -7588.64742897213 -7537.27099447035 -7600.87338940195 -7385.38932175973 -7545.46167814367 -8270.56152568018 -9482.17481210364 -10205.3120984039 -9897.42384502744 -10296.5124055697 -10013.1688384589 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA -9558.27676467775 -8726.13786488904 -8123.96881006722 -7653.64701541805 -7410.4106775154 -7408.58548899236 -9353.81333489728 -10876.4420253114 -10773.0405425193 -10246.4515271621 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA -9953.89414823336 -9317.57408037739 -7525.97541656064 -7759.28500181389 -9236.42696837912 -11006.3232312224 -10479.7342158652 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -10410.3173772475 -9501.85722545942 -11141.0835375663 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
